Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,First_diff,Nifty_Open,Nifty_High,Nifty_Low,Nifty_Close
28-01-2000,RELIANCE,EQ,334.95,335.9,341.9,331.6,337.25,338.35,337.97,11734252,3.97E+14,6.3,1603.65,1610.90,1592.70,1599.10
31-01-2000,RELIANCE,EQ,338.35,334.45,336,326.55,327.05,328.15,331.46,10191331,3.38E+14,-6.51,1598.35,1598.35,1538.70,1546.20
01-02-2000,RELIANCE,EQ,328.15,330.8,337.45,328,336.05,334.05,334.35,10707804,3.58E+14,2.89,1546.2,1554.15,1521.40,1549.50
02-02-2000,RELIANCE,EQ,334.05,342.9,346.9,338.55,339.1,340.15,343.07,9950848,3.41E+14,8.72,1554.2,1605.90,1554.20,1588.00
03-02-2000,RELIANCE,EQ,340.15,342,343.5,336.4,342.5,341.65,340.17,6771527,2.30E+14,-2.9,1591.25,1616.70,1591.25,1597.90
04-02-2000,RELIANCE,EQ,341.65,344,347.35,341.7,342.75,344.15,344.87,7106910,2.45E+14,4.7,1598.5,1621.35,1596.45,1599.70
07-02-2000,RELIANCE,EQ,344.15,341.1,349.45,338.05,343,343.6,345.9,8193641,2.83E+14,1.03,1599.8,1645.90,1599.80,1636.60
08-02-2000,RELIANCE,EQ,343.6,345.5,346.9,341.05,342.1,342.4,344,6430661,2.21E+14,-1.9,1636.6,1676.10,1636.60,1662.70
09-02-2000,RELIANCE,EQ,342.4,349,354.65,344.8,346.7,350.4,350.02,11436821,4.00E+14,6.02,1666.95,1731.65,1666.70,1689.60
10-02-2000,RELIANCE,EQ,350.4,348.8,363.8,344.9,363,355.75,352.92,10792579,3.81E+14,2.9,1692.1,1713.70,1692.10,1711.20
11-02-2000,RELIANCE,EQ,355.75,364,374,360.05,361.4,363.3,366.5,8155627,2.99E+14,13.58,1712.85,1771.65,1712.85,1756.00
14-02-2000,RELIANCE,EQ,363.3,359,360.9,350,350.8,352.1,355.41,5127399,1.82E+14,-11.09,1777.75,1795.45,1738.75,1744.50
15-02-2000,RELIANCE,EQ,352.1,352,354.4,342.05,343.5,344.35,348.97,8124337,2.84E+14,-6.44,1744.5,1744.50,1694.45,1702.50
16-02-2000,RELIANCE,EQ,344.35,350,353.8,343.1,346.75,348.15,348.91,7876392,2.75E+14,-0.06,1704.85,1742.80,1704.15,1711.10
17-02-2000,RELIANCE,EQ,348.15,347.7,356.8,347.5,355.4,354.55,353.61,7670820,2.71E+14,4.7,1710.05,1753.10,1710.05,1742.10
18-02-2000,RELIANCE,EQ,354.55,356.9,357.95,348,350.3,349.45,353.11,5030667,1.78E+14,-0.5,1742.3,1764.15,1713.45,1717.80
21-02-2000,RELIANCE,EQ,349.45,348.4,352,341.65,344,345.65,347.65,2944404,1.02E+14,-5.46,1719.55,1767.80,1719.55,1753.50
22-02-2000,RELIANCE,EQ,345.65,346,347,332.5,335.25,334.35,338.6,7192242,2.44E+14,-9.05,1754.2,1781.05,1733.55,1739.00
23-02-2000,RELIANCE,EQ,334.35,344.7,344.7,327.3,330,329.8,336.8,4831725,1.63E+14,-1.8,1745.2,1818.15,1689.20,1696.40
24-02-2000,RELIANCE,EQ,329.8,332.9,340.7,329.3,339,336.75,336.11,5663873,1.90E+14,-0.69,1696.4,1751.60,1693.10,1732.00
25-02-2000,RELIANCE,EQ,336.75,341.4,342.9,326.1,326.9,328.6,334.39,3912097,1.31E+14,-1.72,1734.05,1757.05,1699.25,1710.40
28-02-2000,RELIANCE,EQ,328.6,324.85,337.25,310,337.25,333.1,326.95,5026004,1.64E+14,-7.44,1711.15,1726.65,1670.75,1722.50
29-02-2000,RELIANCE,EQ,333.1,337.9,342.85,306.45,309.5,310.85,330.53,9970107,3.30E+14,3.58,1722.85,1783.30,1626.35,1654.80
01-03-2000,RELIANCE,EQ,310.85,315,329.85,299,317.25,316.8,313.87,10765888,3.38E+14,-16.66,1661.5,1727.90,1630.00,1712.70
02-03-2000,RELIANCE,EQ,316.8,318.85,322,291.5,291.5,291.75,304.69,12536245,3.82E+14,-9.18,1713.65,1773.85,1690.05,1696.50
03-03-2000,RELIANCE,EQ,291.75,286.1,286.1,268.45,268.45,268.45,272.37,4636776,1.26E+14,-32.32,1696.45,1719.15,1644.40,1656.00
06-03-2000,RELIANCE,EQ,268.45,268.45,283.85,247,254.7,253.95,266.91,10430713,2.78E+14,-5.46,1656,1721.00,1656.00,1688.50
07-03-2000,RELIANCE,EQ,253.95,257,259,240,244.5,242.3,247.15,9560450,2.36E+14,-19.76,1711.85,1730.85,1684.90,1702.70
08-03-2000,RELIANCE,EQ,242.3,246.9,250.5,230,234.3,232.95,240.78,7256376,1.75E+14,-6.37,1717.75,1765.25,1654.45,1666.30
09-03-2000,RELIANCE,EQ,232.95,235.9,242.4,224.15,230.9,231.3,232.51,5545792,1.29E+14,-8.27,1667.45,1692.25,1595.45,1646.20
10-03-2000,RELIANCE,EQ,231.3,234,234.8,214.6,218.4,216.85,223.16,6597169,1.47E+14,-9.35,1647.85,1680.45,1588.20,1602.70
13-03-2000,RELIANCE,EQ,216.85,219.9,229.5,200.3,203.3,203.2,217.37,10765401,2.34E+14,-5.79,1601.4,1645.00,1553.45,1560.70
14-03-2000,RELIANCE,EQ,203.2,205.5,219.5,197.15,219,219.2,212.29,10106318,2.15E+14,-5.08,1561.55,1571.30,1503.20,1567.00
15-03-2000,RELIANCE,EQ,219.2,224,236.75,216,236.75,236.75,232.23,5711222,1.33E+14,19.94,1546.8,1630.95,1538.70,1620.10
16-03-2000,RELIANCE,EQ,236.75,239.5,247.8,230.1,235.5,234.85,238.54,10564295,2.52E+14,6.31,1620.4,1621.20,1554.30,1562.20
21-03-2000,RELIANCE,EQ,234.85,238.8,242.8,227.6,242.5,237.9,234.11,6838036,1.60E+14,-4.43,1563.3,1585.25,1542.65,1556.60
